cross,reference,chr,start,end,crossovers,scrossovers,Unknown,Simple_repeat,SINE/tRNA,DNA/TcMar-Stowaway,DNA/MULE-MuDR,LTR/Copia,SINE,DNA/PIF-Harbinger,Low_complexity,DNA/hAT-Tip100,DNA/hAT-Ac,LINE/RTE-BovB,DNA/TcMar,DNA/hAT-Tag1,SINE/tRNA-RTE,LTR/Gypsy,Retroposon,DNA/CMC-EnSpm,DNA,LINE/L1,rRNA,SINE?,DNA/TcMar-Pogo,SINE/tRNA-Deu-RTE,LTR,RC/Helitron,snRNA,DNA/hAT-Charlie,DNA/TcMar-Tc1,LTR/Caulimovirus,LTR/ERV1,Satellite
lycopersicum_pimpinellifolium,lycopersicum,chr1,2200000,2300000,0,0.7335260576767768,17,35,2,9,10,3,3,7,7,7,5,12,0,3,0,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2300000,2400000,0,0.6601734519090992,27,22,13,4,8,6,2,10,7,6,2,16,0,2,0,2,0,1,5,15,0,0,0,0,0,0,0,1,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2400000,2500000,1,0.6941561067181893,23,34,3,9,13,2,0,9,10,8,0,15,1,2,0,6,0,6,4,8,0,0,0,0,1,0,0,1,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2500000,2600000,1,0.7247404960463704,27,24,8,4,17,10,2,8,5,8,6,12,0,6,0,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2600000,2700000,1,0.7522664464417333,39,38,3,9,20,15,1,10,15,15,7,16,0,0,1,3,0,4,5,0,1,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2700000,2800000,1,0.77703980179756,22,30,6,10,17,4,0,6,3,5,3,20,0,0,2,7,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2800000,2900000,0,0.699335821617804,33,40,6,10,26,6,3,9,10,18,2,10,0,2,7,3,18,2,8,3,0,1,0,0,0,0,0,1,2,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,2900000,3000000,1,0.7294022394560237,17,28,5,12,6,9,0,6,9,3,6,22,0,10,3,3,2,4,5,1,0,0,0,2,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3000000,3100000,2,0.8564620155104212,33,19,3,10,9,10,1,8,5,12,3,16,0,0,0,16,3,0,3,7,0,0,0,1,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3100000,3200000,1,0.8708158139593791,28,36,3,13,13,17,2,9,14,13,19,10,0,0,0,5,0,1,8,1,0,0,2,0,1,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3200000,3300000,0,0.7837342325634412,43,40,8,7,13,13,0,6,8,7,1,5,0,3,0,0,0,1,6,3,0,1,0,1,0,3,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3300000,3400000,0,0.7053608093070971,15,10,0,3,0,1,0,0,6,1,0,0,0,0,0,17,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3400000,3500000,1,0.7348247283763873,31,28,3,13,13,11,1,10,9,7,10,6,0,0,1,11,0,4,5,4,1,0,0,0,0,0,1,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3500000,3600000,1,0.7613422555387486,34,44,3,7,21,5,3,10,6,6,9,9,2,7,0,15,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3600000,3700000,2,0.8852080299848737,37,37,4,10,13,32,0,8,8,1,18,10,0,2,0,15,0,2,7,1,0,0,0,0,0,0,0,0,0,1,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3700000,3800000,1,0.8966872269863864,37,33,1,8,9,17,3,6,3,13,0,6,0,0,1,20,0,3,18,1,0,0,3,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3800000,3900000,0,0.8070185042877478,45,27,4,8,8,25,0,15,7,8,11,16,0,0,1,3,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,3900000,4000000,0,0.726316653858973,40,33,1,4,10,24,1,6,4,5,10,2,0,0,4,30,1,9,5,0,0,0,0,1,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4000000,4100000,0,0.6536849884730758,54,25,1,4,4,8,0,3,4,10,7,0,0,0,1,32,0,1,5,0,0,0,0,0,1,0,0,0,2,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4100000,4200000,0,0.5883164896257682,43,27,1,4,9,27,1,0,3,11,5,0,0,1,0,40,0,3,2,1,1,0,0,0,0,0,0,0,0,2,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4200000,4300000,0,0.5294848406631915,39,27,0,6,16,6,0,6,7,5,2,0,0,2,0,67,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4300000,4400000,1,0.5765363565968723,50,17,1,4,18,3,0,7,4,3,3,5,0,0,0,23,0,2,6,0,0,0,0,0,2,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4400000,4500000,0,0.5188827209371851,51,33,2,8,9,9,2,3,5,5,7,2,0,0,0,21,0,3,8,0,0,0,3,0,0,0,0,2,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4500000,4600000,1,0.5669944488434666,34,30,2,1,12,28,0,4,3,11,13,6,0,0,0,11,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4600000,4700000,0,0.51029500395912,27,27,0,2,17,19,0,6,7,4,2,3,0,0,0,3,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4700000,4800000,0,0.459265503563208,26,15,0,3,7,13,0,5,1,0,2,0,0,0,0,25,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4800000,4900000,0,0.4133389532068872,34,27,0,19,24,9,0,14,7,8,20,1,2,0,0,7,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,4900000,5000000,0,0.3720050578861985,38,26,0,7,9,22,1,10,5,5,8,3,1,0,0,26,4,3,6,0,0,0,0,0,0,2,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5000000,5100000,0,0.3348045520975786,34,33,1,3,24,12,1,19,11,5,10,2,0,1,0,17,0,1,12,2,0,0,0,0,0,0,0,0,0,1,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5100000,5200000,0,0.3013240968878208,29,30,1,5,20,11,2,17,11,13,6,3,0,0,2,15,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5200000,5300000,0,0.2711916871990387,36,25,2,6,14,17,0,2,4,4,1,2,2,1,0,31,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5300000,5400000,0,0.2440725184791349,53,31,2,13,17,15,1,3,0,9,5,7,1,1,2,8,0,3,5,0,1,0,0,0,0,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5400000,5500000,0,0.2196652666312214,21,20,0,0,6,21,0,5,1,8,2,0,1,0,0,24,1,5,2,2,1,0,0,1,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5500000,5600000,0,0.1976987399680992,35,25,1,7,16,21,1,9,4,13,3,9,0,3,1,16,1,9,3,2,0,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5600000,5700000,0,0.1779288659712893,41,25,2,5,36,18,0,3,6,7,10,7,0,3,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5700000,5800000,0,0.1601359793741604,32,21,0,4,19,27,1,12,2,17,2,6,0,0,0,7,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5800000,5900000,1,0.2441223814367444,64,29,1,4,27,27,0,6,7,10,3,2,0,0,0,3,0,6,3,2,0,0,0,0,0,0,1,1,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,5900000,6000000,0,0.2197101432930699,36,15,1,3,20,15,1,5,6,1,2,0,0,0,0,24,7,14,0,0,0,0,0,0,0,0,0,0,10,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6000000,6100000,0,0.1977391289637629,31,17,0,1,15,24,1,11,4,3,6,2,0,0,0,13,8,5,4,0,0,0,0,0,0,0,0,0,21,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6100000,6200000,0,0.1779652160673867,34,21,1,3,31,22,1,7,3,2,0,0,0,4,0,31,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6200000,6300000,0,0.160168694460648,25,23,3,3,8,35,0,9,7,6,2,4,0,4,0,29,4,5,0,2,0,0,3,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6300000,6400000,1,0.2441518250145832,34,24,1,7,11,18,2,5,7,4,12,2,1,0,0,22,0,6,1,6,0,0,0,0,0,1,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6400000,6500000,0,0.2197366425131249,41,27,3,4,21,18,1,18,4,3,10,12,0,3,0,29,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6500000,6600000,0,0.1977629782618124,23,21,4,4,9,13,0,3,2,3,10,5,0,0,0,27,0,11,1,11,0,0,0,1,0,0,0,0,0,1,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6600000,6700000,0,0.1779866804356312,49,24,0,9,13,21,0,6,7,8,6,5,0,0,0,32,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6700000,6800000,0,0.1601880123920681,7,6,0,3,0,8,0,0,5,0,0,0,0,0,0,75,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6800000,6900000,0,0.1441692111528613,7,12,0,4,4,8,0,2,6,0,2,2,0,0,0,45,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6900000,7000000,0,0.1297522900375751,33,17,0,0,5,2,0,10,0,0,15,5,0,0,0,39,0,7,2,0,0,0,0,1,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7000000,7100000,0,0.1167770610338176,33,22,1,5,6,10,0,11,3,1,16,9,0,0,0,26,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7100000,7200000,0,0.1050993549304359,47,15,0,0,7,0,0,0,1,0,1,0,0,0,0,64,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7200000,7300000,0,0.0945894194373923,47,11,0,2,1,6,0,1,0,0,1,0,0,0,0,47,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7300000,7400000,0,0.085130477493653,44,10,0,2,7,6,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7400000,7500000,0,0.0766174297442877,45,8,0,2,7,5,0,1,2,1,0,0,0,0,0,51,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7500000,7600000,0,0.068955686769859,74,6,0,0,1,11,0,0,1,0,0,1,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7600000,7700000,0,0.0620601180928731,36,8,2,4,5,18,0,0,1,0,8,3,1,2,0,25,8,1,3,5,0,0,3,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7700000,7800000,0,0.0558541062835858,6,9,0,1,11,10,1,2,0,17,0,2,0,0,0,46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7800000,7900000,0,0.0502686956552272,7,3,0,0,1,11,2,3,0,20,0,2,0,0,0,71,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7900000,8000000,0,0.0452418260897045,22,11,0,0,7,16,1,3,0,14,0,0,0,0,0,36,16,3,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8000000,8100000,0,0.040717643480734,44,21,0,0,5,8,0,0,6,2,1,0,0,0,2,23,0,3,1,2,0,0,0,0,1,0,0,0,3,1,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8100000,8200000,0,0.0366458791326606,24,10,0,0,3,10,3,3,1,4,0,0,0,0,0,33,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8200000,8300000,1,0.1329812912193946,24,21,0,0,3,23,5,3,1,9,3,0,0,3,0,33,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8300000,8400000,0,0.1196831620974551,17,10,0,2,6,18,3,3,2,18,0,1,0,0,0,29,10,5,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8400000,8500000,0,0.1077148458877096,15,9,0,0,1,13,2,5,2,22,0,0,0,0,0,26,9,10,0,0,0,0,0,0,0,0,0,1,0,8,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8500000,8600000,0,0.0969433612989386,16,13,0,0,3,17,2,5,0,13,0,0,0,3,0,34,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8600000,8700000,0,0.0872490251690448,23,16,0,0,4,25,7,5,0,20,0,0,0,2,0,41,21,5,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8700000,8800000,0,0.0785241226521403,27,28,2,4,22,17,0,5,7,2,11,3,0,2,0,20,3,1,0,4,0,0,0,0,0,0,0,1,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8800000,8900000,0,0.0706717103869262,9,14,0,0,4,41,4,1,2,4,0,1,0,0,0,35,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8900000,9000000,0,0.0636045393482336,3,14,0,0,0,22,0,0,1,0,1,4,0,0,0,36,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9000000,9100000,0,0.0572440854134102,8,19,0,0,0,27,0,3,1,0,0,6,0,0,0,48,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9100000,9200000,0,0.0515196768720692,4,6,0,0,0,23,0,0,0,0,0,4,0,0,0,50,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9200000,9300000,0,0.0463677091848623,11,12,0,2,10,24,0,10,2,3,2,3,0,0,0,31,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9300000,9400000,0,0.0417309382663761,15,6,0,1,8,31,2,3,3,1,3,6,0,0,1,28,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9400000,9500000,0,0.0375578444397384,29,20,0,3,17,35,0,5,3,8,6,3,0,0,0,49,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9500000,9600000,0,0.0338020599957646,30,29,0,5,6,15,0,9,3,6,0,0,0,0,0,40,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9600000,9700000,0,0.0304218539961881,37,11,2,14,2,34,1,0,1,4,5,4,0,0,0,26,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9700000,9800000,0,0.0273796685965693,30,2,0,11,0,29,1,1,1,2,0,5,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9800000,9900000,0,0.0246417017369124,45,8,0,8,13,34,1,2,1,6,0,7,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9900000,10000000,0,0.0221775315632211,34,13,0,4,0,18,1,2,1,3,0,1,0,0,0,40,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10000000,10100000,0,0.019959778406899,32,5,0,9,0,38,0,1,3,3,0,2,0,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10100000,10200000,0,0.0179638005662091,30,35,0,5,0,25,1,3,2,4,3,3,0,0,0,35,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10200000,10300000,0,0.0161674205095882,33,9,0,11,0,42,1,1,2,2,0,3,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10300000,10400000,0,0.0145506784586294,34,41,0,7,2,32,0,4,7,6,0,1,0,0,0,58,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10400000,10500000,0,0.0130956106127664,37,22,1,8,1,35,1,0,1,3,3,4,0,0,0,28,3,6,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10500000,10600000,0,0.0117860495514898,20,12,0,8,1,43,1,0,1,6,0,2,0,0,0,15,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10600000,10700000,0,0.0106074445963408,11,10,0,1,4,43,0,0,2,0,0,1,0,0,1,21,9,4,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10700000,10800000,0,0.0095467001367067,8,13,0,0,0,18,0,0,4,6,0,0,0,0,0,23,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10800000,10900000,0,0.008592030123036,14,6,1,0,4,21,0,0,3,1,0,1,0,0,1,29,3,1,0,1,0,0,0,0,0,0,0,0,0,17,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,10900000,11000000,0,0.0077328271107324,2,21,0,0,1,34,0,0,3,6,0,0,0,0,0,47,0,9,0,3,0,0,0,0,0,0,0,0,5,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11000000,11100000,0,0.0069595443996592,17,4,0,0,1,15,0,0,4,1,0,0,0,0,0,26,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11100000,11200000,0,0.0062635899596933,15,15,1,0,7,24,0,3,6,0,0,1,0,0,0,28,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11200000,11300000,0,0.0056372309637239,20,11,0,0,2,19,0,2,2,0,0,1,0,0,0,32,21,6,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11300000,11400000,0,0.0050735078673515,13,6,0,0,0,21,0,0,1,0,0,0,0,0,0,60,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11400000,11500000,0,0.0045661570806164,24,6,0,0,1,16,0,3,2,0,0,0,0,0,0,75,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11500000,11600000,0,0.0041095413725547,19,8,0,0,0,9,0,0,2,0,0,0,0,0,0,67,6,9,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11600000,11700000,0,0.0036985872352993,22,18,1,6,12,9,1,12,7,3,6,0,0,2,0,57,3,9,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11700000,11800000,0,0.0033287285117693,14,10,2,0,10,43,0,0,1,2,5,0,0,0,0,8,6,7,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11800000,11900000,0,0.0029958556605924,20,12,1,2,12,17,1,1,8,4,2,1,0,0,0,23,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0.0,0
