cross,reference,chr,start,end,crossovers,scrossovers,gene,mRNA,exon,CDS
lycopersicum_pimpinellifolium,lycopersicum,chr1,9100000,9200000,0,0.0515196768720692,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,9200000,9300000,0,0.0463677091848623,2,2,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,9300000,9400000,0,0.0417309382663761,3,3,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,9400000,9500000,0,0.0375578444397384,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,9500000,9600000,0,0.0338020599957646,3,3,15,14
lycopersicum_pimpinellifolium,lycopersicum,chr1,9600000,9700000,0,0.0304218539961881,4,4,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,9700000,9800000,0,0.0273796685965693,5,5,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,9800000,9900000,0,0.0246417017369124,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,9900000,10000000,0,0.0221775315632211,3,3,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,10000000,10100000,0,0.019959778406899,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,10100000,10200000,0,0.0179638005662091,5,5,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,10200000,10300000,0,0.0161674205095882,5,5,7,7
lycopersicum_pimpinellifolium,lycopersicum,chr1,10300000,10400000,0,0.0145506784586294,5,5,17,17
lycopersicum_pimpinellifolium,lycopersicum,chr1,10400000,10500000,0,0.0130956106127664,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,10500000,10600000,0,0.0117860495514898,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,10600000,10700000,0,0.0106074445963408,2,2,3,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,10700000,10800000,0,0.0095467001367067,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,10800000,10900000,0,0.008592030123036,3,3,8,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,10900000,11000000,0,0.0077328271107324,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,11000000,11100000,0,0.0069595443996592,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,11100000,11200000,0,0.0062635899596933,5,5,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,11200000,11300000,0,0.0056372309637239,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11300000,11400000,0,0.0050735078673515,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,11400000,11500000,0,0.0045661570806164,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11500000,11600000,0,0.0041095413725547,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11600000,11700000,0,0.0036985872352993,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,11700000,11800000,0,0.0033287285117693,5,5,11,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,11800000,11900000,0,0.0029958556605924,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,11900000,12000000,0,0.0026962700945331,6,6,18,17
lycopersicum_pimpinellifolium,lycopersicum,chr1,12000000,12100000,0,0.0024266430850798,5,5,10,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,12100000,12200000,0,0.0021839787765718,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,12200000,12300000,0,0.0019655808989146,2,2,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,12300000,12400000,0,0.0017690228090232,1,1,4,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,12400000,12500000,0,0.0015921205281209,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,12500000,12600000,0,0.0014329084753088,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,12600000,12700000,0,0.0012896176277779,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,12700000,12800000,0,0.0011606558650001,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,12800000,12900000,0,0.0010445902785001,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,12900000,13000000,0,0.0009401312506501,2,2,10,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,13000000,13100000,0,0.0008461181255851,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13100000,13200000,0,0.0007615063130265,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13200000,13300000,0,0.0006853556817239,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,13300000,13400000,0,0.0006168201135515,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13400000,13500000,0,0.0005551381021963,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13500000,13600000,0,0.0004996242919767,3,3,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,13600000,13700000,0,0.000449661862779,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,13700000,13800000,0,0.0004046956765011,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13800000,13900000,0,0.000364226108851,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13900000,14000000,0,0.0003278034979659,2,2,4,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,14000000,14100000,0,0.0002950231481693,5,5,24,24
lycopersicum_pimpinellifolium,lycopersicum,chr1,14100000,14200000,0,0.0002655208333524,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,14200000,14300000,0,0.0002389687500171,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,14300000,14400000,0,0.0002150718750154,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,14400000,14500000,0,0.0001935646875139,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,14500000,14600000,1,0.1001742082187625,6,6,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,14600000,14700000,0,0.0901567873968862,2,2,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,14700000,14800000,0,0.0811411086571976,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,14800000,14900000,0,0.0730269977914778,3,3,6,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,14900000,15000000,0,0.0657242980123301,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15000000,15100000,0,0.059151868211097,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,15100000,15200000,0,0.0532366813899873,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,15200000,15300000,0,0.0479130132509886,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15300000,15400000,1,0.1431217119258898,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15400000,15500000,0,0.1288095407333008,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15500000,15600000,0,0.1159285866599707,1,1,3,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,15600000,15700000,0,0.1043357279939736,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,15700000,15800000,0,0.0939021551945762,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15800000,15900000,0,0.0845119396751186,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,15900000,16000000,1,0.1760607457076068,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,16000000,16100000,0,0.1584546711368461,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,16100000,16200000,0,0.1426092040231615,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,16200000,16300000,0,0.1283482836208453,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,16300000,16400000,0,0.1155134552587608,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,16400000,16500000,0,0.1039621097328847,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,16500000,16600000,0,0.0935658987595962,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,16600000,16700000,0,0.0842093088836366,4,4,13,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,16700000,16800000,0,0.0757883779952729,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,16800000,16900000,0,0.0682095401957457,3,3,10,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,16900000,17000000,0,0.0613885861761711,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17000000,17100000,0,0.055249727558554,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17100000,17200000,0,0.0497247548026986,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17200000,17300000,1,0.1447522793224287,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17300000,17400000,0,0.1302770513901859,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17400000,17500000,0,0.1172493462511673,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17500000,17600000,0,0.1055244116260505,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17600000,17700000,0,0.0949719704634455,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17700000,17800000,1,0.1854747734171009,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17800000,17900000,0,0.1669272960753909,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,17900000,18000000,0,0.1502345664678518,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,18000000,18100000,0,0.1352111098210666,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18100000,18200000,0,0.1216899988389599,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,18200000,18300000,0,0.1095209989550639,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18300000,18400000,1,0.1985688990595575,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18400000,18500000,1,0.2787120091536018,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18500000,18600000,0,0.2508408082382417,2,2,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,18600000,18700000,0,0.2257567274144175,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,18700000,18800000,0,0.2031810546729757,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,18800000,18900000,0,0.1828629492056782,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,18900000,19000000,0,0.1645766542851103,1,1,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,19000000,19100000,0,0.1481189888565993,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,19100000,19200000,0,0.1333070899709394,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,19200000,19300000,0,0.1199763809738454,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,19300000,19400000,0,0.1079787428764609,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,19400000,19500000,0,0.0971808685888148,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,19500000,19600000,0,0.0874627817299333,5,5,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,19600000,19700000,0,0.07871650355694,3,3,10,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,19700000,19800000,0,0.070844853201246,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,19800000,19900000,1,0.1637603678811214,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,19900000,20000000,0,0.1473843310930092,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20000000,20100000,0,0.1326458979837083,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,20100000,20200000,0,0.1193813081853375,1,1,4,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,20200000,20300000,0,0.1074431773668037,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20300000,20400000,0,0.0966988596301234,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20400000,20500000,0,0.087028973667111,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,20500000,20600000,0,0.0783260763003999,4,4,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,20600000,20700000,0,0.0704934686703599,3,3,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,20700000,20800000,0,0.0634441218033239,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20800000,20900000,0,0.0570997096229915,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,20900000,21000000,0,0.0513897386606924,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21000000,21100000,0,0.0462507647946231,4,4,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,21100000,21200000,0,0.0416256883151608,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21200000,21300000,1,0.1374631194836447,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,21300000,21400000,0,0.1237168075352802,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,21400000,21500000,0,0.1113451267817522,1,1,3,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,21500000,21600000,0,0.100210614103577,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21600000,21700000,0,0.0901895526932193,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21700000,21800000,0,0.0811705974238974,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,21800000,21900000,0,0.0730535376815076,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21900000,22000000,0,0.0657481839133568,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,22000000,22100000,0,0.0591733655220212,3,3,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,22100000,22200000,0,0.053256028969819,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,22200000,22300000,0,0.0479304260728371,3,3,8,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,22300000,22400000,0,0.0431373834655534,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,22400000,22500000,0,0.0388236451189981,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,22500000,22600000,0,0.0349412806070983,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,22600000,22700000,0,0.0314471525463884,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,22700000,22800000,0,0.0283024372917496,3,3,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,22800000,22900000,0,0.0254721935625746,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,22900000,23000000,0,0.0229249742063172,3,3,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,23000000,23100000,0,0.0206324767856854,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,23100000,23200000,0,0.0185692291071169,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23200000,23300000,0,0.0167123061964052,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,23300000,23400000,0,0.0150410755767647,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23400000,23500000,0,0.0135369680190882,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,23500000,23600000,0,0.0121832712171794,3,3,13,12
lycopersicum_pimpinellifolium,lycopersicum,chr1,23600000,23700000,0,0.0109649440954614,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23700000,23800000,0,0.0098684496859153,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23800000,23900000,0,0.0088816047173237,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,23900000,24000000,0,0.0079934442455914,42,42,82,82
lycopersicum_pimpinellifolium,lycopersicum,chr1,24000000,24100000,1,0.1071940998210322,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,24100000,24200000,0,0.096474689838929,2,2,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,24200000,24300000,0,0.0868272208550361,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,24300000,24400000,0,0.0781444987695325,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,24400000,24500000,0,0.0703300488925793,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,24500000,24600000,0,0.0632970440033213,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,24600000,24700000,0,0.0569673396029892,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,24700000,24800000,0,0.0512706056426903,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,24800000,24900000,0,0.0461435450784212,3,3,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,24900000,25000000,0,0.0415291905705791,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,25000000,25100000,0,0.0373762715135212,1,1,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,25100000,25200000,0,0.0336386443621691,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,25200000,25300000,0,0.0302747799259522,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,25300000,25400000,0,0.0272473019333569,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,25400000,25500000,0,0.0245225717400212,3,3,13,13
lycopersicum_pimpinellifolium,lycopersicum,chr1,25500000,25600000,0,0.0220703145660191,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,25600000,25700000,0,0.0198632831094172,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,25700000,25800000,0,0.0178769547984755,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,25800000,25900000,0,0.0160892593186279,2,2,11,5
